city,score,artist,genre,weekend,id,venue,maxprice,showName,month
Chula Vista,75,Dan + Shay,Country,1,vvG1IZ4d2uWSOR,Mattress Firm Amphitheatre (Formerly Sleep Train Amphitheatre),695.0,2018 KSON Country Megaticket Presented By Pennzoil,12
Brooklyn,85,Rich The Kid,R&B,1,k7vGF46LCfhdl,Barclays Center,316.0,Chris Brown Presents: Heartbreak On A Full Moon Tour,07
Toronto,100,Post Malone,Hip-Hop/Rap,1,1k7Zvf4MGACDv0q,RBC Echo Beach,279.0,Post Malone,05
Toronto,100,Post Malone,Hip-Hop/Rap,1,1AvZZ47GkTFaF6E,RBC Echo Beach,279.0,Post Malone,05
Cincinnati,100,Post Malone,Undefined,0,17AOv3G626acNsd,Sawyer Point/Yeatmen's Cove,169.0,Bunbury Music Festival 3 Day General Admission Tickets,06
Cincinnati,100,Post Malone,Undefined,1,1kAOvfbbGAG7Jlh,Sawyer Point/Yeatmen's Cove,79.0,Bunbury Music Festival Single Day: Sunday,06
Las Vegas,100,Post Malone,Hip-Hop/Rap,0,G5ezZ47Ta-Kyq,Park Theater,145.0,Post Malone,06
Mansfield,100,Post Malone,Hip-Hop/Rap,0,vvG17Z41nWf5dC,Xfinity Center,109.5,JAM'N 94.5 Presents SUMMER JAM 2018,08
Cleveland,100,Post Malone,Hip-Hop/Rap,1,vv11v8vffZ180Av5,Jacobs Pavilion at Nautica (formerly Nautica Pavilion),230.0,Post Malone,06
San Diego,100,Post Malone,Hip-Hop/Rap,0,vvG1IZ47MhGd6r,Cal Coast Credit Union Open Air Theatre at SDSU,250.0,Post Malone,06
Austin,100,Post Malone,Hip-Hop/Rap,1,G5dIZ4Ade7UFm,Austin360 Amphitheater,202.0,Post Malone,06
Indianapolis,100,Post Malone,Hip-Hop/Rap,0,vv17fZ47GkTybpMO,Farm Bureau Insurance Lawn at White River State Park,194.0,Post Malone,06
Darien Center,80,Chris Stapleton,Country,0,k7vGF4dlVA9T9,Darien Lake Amphitheater,89.75,Chris Stapleton,06
Cincinnati,80,Chris Stapleton,Country,0,1ApZA8UGkdkQJ1Z,Riverbend Music Center,239.0,Chris Stapleton,10
Bristow,80,Chris Stapleton,Country,1,1AvfZ4dGkl2hfTr,Jiffy Lube Live,89.75,Chris Stapleton,10
Saratoga Springs,80,Chris Stapleton,Country,0,k7vGF4dMPWgbx,Saratoga Performing Arts Center,239.0,Chris Stapleton,08
Camden,80,Chris Stapleton,Country,0,vv17FZ4dGkgXzxdS,BB&T Pavilion  ,79.75,Chris Stapleton,06
Mansfield,80,Chris Stapleton,Country,1,vv177Z4dGkUEgepm,Xfinity Center,89.75,Chris Stapleton,06
Chula Vista,80,Chris Stapleton,Country,0,vvG1IZ4dgEDs6O,Mattress Firm Amphitheatre (Formerly Sleep Train Amphitheatre),79.75,Chris Stapleton,08
Maryland Heights,80,Chris Stapleton,Country,0,vv17bZ4dGkUfN0Fy,"Hollywood Casino Amphitheatre - St. Louis, MO",89.75,Chris Stapleton,07
Stateline,80,Chris Stapleton,Country,0,1AvjZ4dGkYklzSg,Lake Tahoe Outdoor Arena at Harveys,149.5,Chris Stapleton,07
Pittsburgh,93,Ed Sheeran,Pop,1,1ApZAoeGkdrkakP,PNC Park,119.5,Ed Sheeran: 2018 North American Stadium Tour,09
Bristow,85,Rich The Kid,R&B,0,1A4ZAoMGkeEBfch,Jiffy Lube Live,199.99,Chris Brown Presents: Heartbreak On A Full Moon Tour,07
Hartford,85,Rich The Kid,R&B,1,G5vVZ46QLwdjy,XFINITY Theatre,170.99,Chris Brown Presents: Heartbreak On A Full Moon Tour,07
Virginia Beach,75,Dan + Shay,Country,0,vv177Z47GkwOLVZj,Veterans United Home Loans Amphitheater at Virginia Beach,90.25,Rascal Flatts: Back To Us Tour 2018,06
East Rutherford,93,Ed Sheeran,Pop,1,k7vGFfS3MUbdx,MetLife Stadium,125.0,Ed Sheeran: 2018 North American Stadium Tour,09
Salt Lake City,71,Brett Young,Country,1,G5vzZ46ULnwKn,Vivint Smart Home Arena,84.75,Thomas Rhett: Life Changes Tour 2018,10
Syracuse,71,Brett Young,Country,0,k7vGF46m_gEtF,The Oncenter War Memorial Arena,206.5,Thomas Rhett: Life Changes Tour 2018,09
East Rutherford,85,Rich The Kid,Hip-Hop/Rap,1,k7vGF4FlEYFrY,MetLife Stadium,250.0,Hot 97 Summer Jam,06
Atlanta,85,Rich The Kid,R&B,0,vvG1zZ46h4fGlN,Cellairis Amphitheatre at Lakewood,159.99,Chris Brown Presents: Heartbreak On A Full Moon Tour,07
Concord,85,Rich The Kid,R&B,0,G5vYZ46hfTtFC,Concord Pavilion,199.99,Chris Brown Presents: Heartbreak On A Full Moon Tour,06
Charlotte,85,Rich The Kid,R&B,1,vvG1zZ46lcrjNq,PNC Music Pavilion,159.99,Chris Brown Presents: Heartbreak On A Full Moon Tour,07
Phoenix,85,Rich The Kid,R&B,1,1av0Z46Qf8KZd55F,Ak-Chin Pavilion,169.99,Chris Brown Presents: Heartbreak On A Full Moon Tour,06
Tampa,85,Rich The Kid,R&B,0,vvG1VZ46L8zTom,MIDFLORIDA Credit Union Amphitheatre at the FL State Fairgrounds,160.99,Chris Brown Presents: Heartbreak On A Full Moon Tour,07
Noblesville,85,Rich The Kid,R&B,0,vv1Fv8vfq-jwZ7GvG5,Ruoff Home Mortgage Music Center,158.99,Chris Brown Presents: Heartbreak On A Full Moon Tour,07
Raleigh,85,Rich The Kid,R&B,0,vvG1zZ46nq-4gG,Coastal Credit Union Music Park at Walnut Creek,149.99,Chris Brown Presents: Heartbreak On A Full Moon Tour,07
Norfolk,83,BlocBoy JB,Hip-Hop/Rap,1,vvG17Z4119XJT7,ORIGAMI,40.0,BlocBoy JB,06
Bristow,87,Rae Sremmurd,Hip-Hop/Rap,0,17A8vfG61leHAYZ,Jiffy Lube Live,89.5,Wiz Khalifa & Rae Sremmurd: Dazed & Blazed Tour,08
Noblesville,75,Dan + Shay,Country,0,vv1AAZA3dGkeW_FWJ,Ruoff Home Mortgage Music Center,97.5,Rascal Flatts: Back To Us Tour 2018,08
Cincinnati,87,Rae Sremmurd,Hip-Hop/Rap,1,1kAOvfJeGAu2jkY,Riverbend Music Center,394.0,Wiz Khalifa & Rae Sremmurd: Dazed & Blazed Tour,07
Camden,87,Rae Sremmurd,Hip-Hop/Rap,0,vv1AeZA3bGkdICHwb,BB&T Pavilion  ,89.5,Wiz Khalifa & Rae Sremmurd: Dazed & Blazed Tour,08
Tinley Park,87,Rae Sremmurd,Hip-Hop/Rap,1,vv1A7ZA3_GkdhFpah,"Hollywood Casino Amphitheatre - Chicago, IL",89.5,Wiz Khalifa & Rae Sremmurd: Dazed & Blazed Tour,07
Raleigh,87,Rae Sremmurd,Hip-Hop/Rap,1,vvG1zZ41BtkJvV,Coastal Credit Union Music Park at Walnut Creek,99.5,Wiz Khalifa & Rae Sremmurd: Dazed & Blazed Tour,08
Atlanta,87,Rae Sremmurd,Hip-Hop/Rap,0,vvG1zZ41VH6r0p,Cellairis Amphitheatre at Lakewood,89.5,Wiz Khalifa & Rae Sremmurd: Dazed & Blazed Tour,08
Cuyahoga Falls,87,Rae Sremmurd,Hip-Hop/Rap,1,vv1kv8vf0yGAu0dtr,Blossom Music Center,100.5,Wiz Khalifa & Rae Sremmurd: Dazed & Blazed Tour,07
Oklahoma City,71,Brett Young,Country,0,vvG1YZ47Cj4vTc,Chesapeake Energy Arena,74.75,Thomas Rhett: Life Changes Tour 2018,10
Hartford,87,Rae Sremmurd,Hip-Hop/Rap,1,G5vVZ4aEdpKpi,XFINITY Theatre,399.5,Wiz Khalifa & Rae Sremmurd: Dazed & Blazed Tour,08
Cincinnati,85,Rich The Kid,R&B,0,1ApZAoUGkeYXJBj,Riverbend Music Center,491.5,Chris Brown Presents: Heartbreak On A Full Moon Tour,07
Chicago,89,Taylor Swift,Rock,1,vv1A7ZAuEGkeODedI,Soldier Field,595.0,Taylor Swift reputation Stadium Tour,06
Clarkston,75,Dan + Shay,Country,1,vv1AFZA3kGkdxTEsT,DTE Energy Music Theatre,90.25,Rascal Flatts: Back to Us Tour,08
Fort Wayne,71,Brett Young,Country,0,vv17fZ46GklC6Um0,Allen County War Memorial Coliseum,74.75,Thomas Rhett: Life Changes Tour 2018,10
Maryland Heights,85,Rich The Kid,R&B,1,vv1AkZAoUGkeTpQIr,"Hollywood Casino Amphitheatre - St. Louis, MO",149.99,Chris Brown Presents: Heartbreak On A Full Moon Tour,07
Jacksonville,87,Rae Sremmurd,Hip-Hop/Rap,0,17FOvfG61Ujpa8S,Daily's Place,125.95,Wiz Khalifa & Rae Sremmurd: Dazed & Blazed Tour,08
Cuyahoga Falls,75,Dan + Shay,Country,0,vv1AAZA3eGkdjEtsv,Blossom Music Center,97.25,Rascal Flatts: Back To Us Tour 2018,08
Portland,82,Metallica,Metal,0,vvG1HZ4Apw4Ei5,Moda Center,133.0,Metallica - WorldWired Tour,12
Uncasville,71,Brett Young,Country,0,G5vVZ46I9xNkG,Mohegan Sun Arena,99.0,Thomas Rhett: Life Changes Tour 2018,09
Wantagh,75,Dan + Shay,Country,0,G5vVZ47HeOS8m,Northwell Health at Jones Beach Theater,99.5,Rascal Flatts: Back To Us Tour 2018,07
Kansas City,89,Taylor Swift,Rock,1,vv17bZfMGkSZ7dTS,Arrowhead Stadium,495.5,Taylor Swift reputation Stadium Tour,09
Sacramento,90,Shawn Mendes,Rock,0,G5vYZ412_TQ0h,Golden 1 Center,85.91,SHAWN MENDES: THE TOUR,07
Philadelphia,89,Taylor Swift,Rock,0,vv1AeZAC7GkdlZA_X,Lincoln Financial Field,1496.0,Taylor Swift reputation Stadium Tour,07
Foxborough,89,Taylor Swift,Rock,0,vv177ZfMGkzsbQf-,Gillette Stadium,499.5,Taylor Swift reputation Stadium Tour,07
Louisville,89,Taylor Swift,Rock,1,1AvbZfMGkMSkAUn,Papa Johns Cardinal Stadium,1494.0,Taylor Swift reputation Stadium Tour,06
Washington,90,Shawn Mendes,Rock,0,1AvfZ4aGkRbhU11,Capital One Arena,695.0,SHAWN MENDES: THE TOUR,08
Chicago,89,Taylor Swift,Rock,0,vv178ZfMGkm3IsS0,Soldier Field,595.0,Taylor Swift reputation Stadium Tour,06
Arlington,89,Taylor Swift,Rock,0,vvG1YZfz6edK-v,AT&T Stadium,1500.0,Taylor Swift reputation Stadium Tour,10
Orlando,90,Shawn Mendes,Rock,0,17FOvfG615bbDVI,Amway Center,699.0,SHAWN MENDES: THE TOUR,07
Newark,90,Shawn Mendes,Rock,1,vvG1FZ413cifgU,Prudential Center,699.0,SHAWN MENDES: THE TOUR,08
Tacoma,85,Justin Timberlake,Rock,1,vvG1HZ47r0udI9,Tacoma Dome,254.0,Justin Timberlake - The Man Of The Woods Tour,11
Uncasville,85,Justin Timberlake,Rock,0,G5vVZ4AEnuxO9,Mohegan Sun Arena,399.0,Justin Timberlake - The Man Of The Woods Tour,12
