city,artist,venue,maxprice,pop,month,score,genre,minprice,weekend,id,showName
Mansfield,Post Malone,Xfinity Center,109.5,60872,08,100,Hip-Hop/Rap,33.0,0,vvG17Z41nWf5dC,JAM'N 94.5 Presents SUMMER JAM 2018
Philadelphia,Post Malone,Made in America Venue,750.0,1553165,09,100,Undefined,125.0,1,vv1AeZA3kGkdbAiJF,Made In America Festival: 2 Day Pass
Las Vegas,Post Malone,Park Theater,145.0,226877,06,100,Hip-Hop/Rap,90.0,0,G5ezZ47Ta-Kyq,Post Malone
Maryland Heights,Post Malone,"Hollywood Casino Amphitheatre - St. Louis, MO",119.0,???,06,100,Hip-Hop/Rap,29.5,0,vv1AkZAoYGketNtfH,"HOT 104.1 Presents Super Jam 10 Feat. Post Malone, 21 Savage & More"
Austin,Post Malone,Austin360 Amphitheater,202.0,885400,06,100,Hip-Hop/Rap,102.5,1,G5dIZ4Ade7UFm,Post Malone
Irving,Post Malone,The Pavilion at Toyota Music Factory,149.5,228653,06,100,Hip-Hop/Rap,89.5,0,vvG1YZ47T8eNwH,Post Malone
San Diego,Post Malone,Cal Coast Credit Union Open Air Theatre at SDSU,250.0,1355896,06,100,Hip-Hop/Rap,108.0,0,vvG1IZ47MhGd6r,Post Malone
Mountain View,Post Malone,Shoreline Amphitheatre,129.5,77846,06,100,Hip-Hop/Rap,79.5,1,G5vYZ47BOqAZM,Post Malone
Hollywood,Post Malone,Hollywood Bowl,129.5,146526,06,100,Hip-Hop/Rap,29.5,0,vvG1iZ41rSgeY9,Post Malone
Hollywood,Post Malone,Hollywood Bowl,129.5,146526,06,100,Hip-Hop/Rap,29.5,0,vvG1iZ4a8Q6phR,Post Malone
Atlanta,Post Malone,Cellairis Amphitheatre at Lakewood,300.0,447841,06,100,Hip-Hop/Rap,150.0,1,vvG1zZ4AZc8cwr,Post Malone
Woodlands,Post Malone,The Cynthia Woods Mitchell Pavilion presented by Huntsman,154.0,???,06,100,Hip-Hop/Rap,89.0,0,G5dIZ4Adb3kUe,Post Malone
