city,artist,weekend,pop,month,score,genre,maxprice
Montclair,Bazzi,0,38027,7,83,Pop,45
Montclair,Savage,0,38027,6,89,Hip-Hop/Rap,25
Lancaster,Bad Wolves,1,38071,6,68,Metal,20
Huber Heights,Grey,0,38142,8,82,Rock,56.5
Atlantic City,Sam Hunt,1,39551,7,76,Other,195
Atlantic City,Demi Lovato,1,39551,7,88,Other,195
Atlantic City,Florida Georgia Line,0,39551,7,85,Country,149
Atlantic City,Florida Georgia Line,1,39551,7,85,Country,149
Atlantic City,Carrie Underwood,0,39551,6,74,Country,350
Atlantic City,Kane Brown,1,39551,7,77,Country,149.5
Atlantic City,Demi Lovato,0,39551,7,88,Rock,114.5
Atlantic City,Demi Lovato,0,39551,7,88,Rock,295
Atlantic City,Sam Hunt,1,39551,7,76,Country,149.5
Atlantic City,Bazzi,1,39551,7,83,Dance/Electronic,99.5
Atlantic City,The Chainsmokers,1,39551,7,88,Dance/Electronic,99.5
Berlin,Halsey,0,39834,9,85,Rock,42.9
Wilkes-Barre,Dua Lipa,0,41108,6,92,Pop,35
Cleveland,Savage,1,42774,9,89,Dance/Electronic,40
Cleveland,Camila Cabello,0,42774,7,88,Rock,495.5
Cleveland,Drake,1,42774,7,99,Dance/Electronic,10
Cleveland,Taylor Swift,0,42774,7,89,Rock,495.5
Miami Beach,Janelle Monae,0,43250,7,76,R&B,75
Newark,Bad Bunny,1,44096,8,95,Hip-Hop/Rap,165.5
Newark,Chris Brown,1,44096,7,90,R&B,299.99
Newark,Cardi B,1,44096,10,93,Rock,199.5
Newark,MercyMe,0,44096,11,65,Rock,72
Newark,Maroon,1,44096,10,88,Rock,179.5
Newark,Cardi B,0,44096,10,93,Rock,199.5
Newark,Bruno Mars,0,44096,10,88,Rock,199.5
Newark,Bruno Mars,1,44096,10,88,Rock,199.5
Newark,Shawn Mendes,1,44096,8,93,Rock,699
Charlotte,Keith Urban,1,44349,7,77,Country,113.25
Charlotte,Janelle Monae,0,44349,7,76,R&B,39.5
Charlotte,Jason Aldean,0,44349,8,79,Country,109
Charlotte,Charlie Puth,0,44349,7,87,Rock,79
Charlotte,Luke Combs,0,44349,8,79,Country,109
Charlotte,Chris Brown,1,44349,7,90,R&B,159.99
Charlotte,Niall Horan,0,44349,9,78,Rock,107
Charlotte,Maren Morris,0,44349,9,82,Rock,107
Charlotte,Luke Bryan,0,44349,6,79,Country,128.25
Charlotte,Sam Smith,0,44349,7,86,Rock,125
Charlotte,Logic,0,44349,6,88,Hip-Hop/Rap,69.5
Charlottesville,Brett Young,1,44349,9,71,Country,74.75
Charlotte,NF,0,44349,6,81,Hip-Hop/Rap,69.5
Charlotte,Darius Rucker,0,44349,10,71,Country,99
Charlotte,Maroon,0,44349,10,88,Rock,149.5
Charlotte,Portugal. The Man,0,44349,9,78,Rock,65
Charlotte,P!nk,1,44349,3,82,Rock,352.5
Charlotte,Rich The Kid,1,44349,7,85,R&B,159.99
Charlotte,Lynyrd Skynyrd,1,44349,6,74,Rock,199.5
Charlotte,Dan + Shay,0,44349,6,76,Country,98.5
Charlotte,Metallica,1,44349,10,82,Metal,145
Charlottesville,Thomas Rhett,1,44349,9,80,Country,74.75
Charlottesville,MercyMe,1,44349,10,65,Rock,75
Charlotte,Justin Timberlake,0,44349,1,85,Rock,228.5
Biloxi,Kane Brown,0,44820,9,77,Country,79.5
Biloxi,Shinedown,0,44820,8,76,Rock,96.5
Lincoln,Brett Young,1,45237,10,71,Country,84.75
Lincoln,Ozuna,1,45237,7,95,Rock,100
Lincoln,Metallica,0,45237,9,82,Metal,132
Lincoln,Thomas Rhett,1,45237,10,80,Country,84.75
East Providence,Halsey,0,47149,7,85,Rock,42.75
Providence,Thomas Rhett,0,47149,9,80,Country,74.75
Providence,Brett Young,0,47149,9,71,Country,74.75
Chesterfield,Grey,1,47749,8,82,Rock,69
Chesterfield,Jordan Davis,0,47749,6,69,Country,85
Cuyahoga Falls,Maren Morris,0,49267,8,82,Rock,107
Cuyahoga Falls,Darius Rucker,0,49267,7,71,Country,96.75
Cuyahoga Falls,Imagine Dragons,1,49267,6,89,Rock,179.5
Cuyahoga Falls,NF,0,49267,7,81,Hip-Hop/Rap,89.5
Cuyahoga Falls,Rae Sremmurd,1,49267,7,87,Hip-Hop/Rap,100.5
Cuyahoga Falls,Jason Aldean,0,49267,8,79,Country,108.75
Cuyahoga Falls,Logic,0,49267,7,88,Hip-Hop/Rap,89.5
Cuyahoga Falls,Luke Combs,0,49267,8,79,Country,108.75
Cuyahoga Falls,Dan + Shay,0,49267,8,76,Country,97.25
Cuyahoga Falls,Niall Horan,0,49267,8,78,Rock,107
Cuyahoga Falls,Keith Urban,0,49267,8,77,Country,116.5
Niagara Falls,Kane Brown,0,49468,7,77,Country,73.45
Monroe,YoungBoy Never Broke Again,0,49761,7,82,Hip-Hop/Rap,97
Sacramento,Sam Smith,0,49891,8,86,Rock,125
Sacramento,Shawn Mendes,0,49891,7,93,Rock,85.91
West Sacramento,Jordan Davis,0,49891,9,69,Country,69.5
Sacramento,P!nk,0,49891,4,82,Rock,349.94
Sacramento,Thomas Rhett,1,49891,10,80,Country,84.75
Sacramento,Metallica,0,49891,12,82,Metal,131.44
Sacramento,Justin Timberlake,1,49891,11,85,Rock,238.1
Sacramento,Brett Young,1,49891,10,71,Country,84.75
Charleston,Kane Brown,0,50821,9,77,Country,80.5
Charleston,MercyMe,1,50821,10,65,Rock,125
Charleston,Portugal. The Man,1,50821,9,78,Rock,45.5
Charleston,Thomas Rhett,0,50821,9,80,Country,74.75
Southaven,Kenny Chesney,0,50997,7,76,Country,134.5
New York,Savage,1,52122,9,89,Dance/Electronic,30
New York,Imagine Dragons,0,52122,6,89,Rock,159.5
New York,NF,1,52122,6,81,Hip-Hop/Rap,99.5
New York,Childish Gambino,1,52122,9,87,Hip-Hop/Rap,129.5
New York,Bazzi,0,52122,7,83,Pop,25
New York,Janelle Monae,0,52122,7,76,R&B,99.5
New York,Sam Smith,1,52122,6,86,Rock,125
New York,Sam Smith,0,52122,6,86,Rock,125
New York,Childish Gambino,0,52122,9,87,Hip-Hop/Rap,149.5
New York,Leon Bridges,0,52122,10,76,R&B,96.5
New York,Leon Bridges,1,52122,10,76,R&B,96.5
New York,Chris Stapleton,0,52122,11,80,Country,94.75
New York,Jason Aldean,1,52122,8,79,Country,100.75
New York,Panic! At The Disco,0,52122,7,84,Rock,80.75
New York,Maroon,1,52122,10,88,Rock,225
New York,Migos,0,52122,8,90,Hip-Hop/Rap,269.5
New York,P!nk,0,52122,5,82,Rock,397.45
