artist,weekend,pop,month,score,genre,minprice
Demi Lovato,0,39551,7,88,Rock,250
Brett Young,0,76817,8,71,Country,215
Dustin Lynch,0,76817,8,73,Country,215
Post Malone,1,447841,6,100,Hip-Hop/Rap,150
Savage,1,447841,6,89,Hip-Hop/Rap,150
P!nk,0,52122,5,82,Rock,132.45
BlocBoy JB,1,1553165,9,83,Undefined,125
Ty Dolla $ign,1,1553165,9,92,Undefined,125
Nicki Minaj,1,1553165,9,91,Undefined,125
Post Malone,1,1553165,9,100,Undefined,125
Zedd,1,1553165,9,85,Undefined,125
Rich The Kid,1,1553165,9,85,Undefined,125
Savage,0,1355896,6,89,Hip-Hop/Rap,108
Post Malone,0,1355896,6,100,Hip-Hop/Rap,108
Jordan Davis,0,308428,7,69,Country,104.5
Post Malone,1,885400,6,100,Hip-Hop/Rap,102.5
Savage,1,885400,6,89,Hip-Hop/Rap,102.5
Carrie Underwood,0,39551,6,74,Country,100
Migos,0,52122,8,90,Hip-Hop/Rap,99.5
Drake,0,52122,8,99,Hip-Hop/Rap,99.5
Chris Stapleton,1,75994,6,80,Rock,99.5
Chris Stapleton,0,2195914,6,80,Rock,99.5
P!nk,0,52122,5,82,Rock,97.45
Cardi B,1,447841,9,93,Hip-Hop/Rap,93.05
Metallica,0,212113,1,82,Metal,93
The Chainsmokers,0,3884307,6,88,Dance/Electronic,91.5
Bruno Mars,1,226877,7,88,Rock,91.28
Bruno Mars,0,226877,7,88,Rock,91.28
Bruno Mars,0,226877,7,88,Rock,91.28
Savage,0,226877,6,89,Hip-Hop/Rap,90
Post Malone,0,226877,6,100,Hip-Hop/Rap,90
Ella Mai,1,378715,7,73,R&B,90
Savage,0,228653,6,89,Hip-Hop/Rap,89.5
Post Malone,0,228653,6,100,Hip-Hop/Rap,89.5
Florida Georgia Line,0,39551,7,85,Country,89
Florida Georgia Line,1,39551,7,85,Country,89
Brett Young,0,226877,8,71,Folk,87.16
Kane Brown,1,226877,7,77,Country,87.16
P!nk,1,352957,3,82,Rock,84.95
Cardi B,0,78373,10,93,Rock,81
Cardi B,0,78373,10,93,Rock,81
Bruno Mars,0,78373,10,88,Rock,81
Bruno Mars,0,78373,10,88,Rock,81
Drake,0,78373,8,99,Hip-Hop/Rap,80.5
Migos,0,78373,8,90,Hip-Hop/Rap,80.5
Maroon,1,44096,10,88,Rock,80
Cardi B,1,44096,10,93,Rock,79.5
Cardi B,0,44096,10,93,Rock,79.5
Bruno Mars,0,44096,10,88,Rock,79.5
Bruno Mars,1,44096,10,88,Rock,79.5
Drake,1,52122,8,99,Hip-Hop/Rap,79.5
Savage,1,77846,6,89,Hip-Hop/Rap,79.5
Post Malone,1,77846,6,100,Hip-Hop/Rap,79.5
Cardi B,1,688701,9,93,Rock,79.5
Cardi B,1,688701,9,93,Rock,79.5
Bruno Mars,1,688701,9,88,Rock,79.5
Bruno Mars,1,688701,9,88,Rock,79.5
Lil Dicky,1,77508,7,82,Hip-Hop/Rap,78.53
Lil Dicky,1,77508,7,82,Hip-Hop/Rap,78.53
Bad Bunny,0,78373,6,95,Other,76
Childish Gambino,1,652405,9,87,Hip-Hop/Rap,75.5
Sam Hunt,1,39551,7,76,Other,75
Demi Lovato,1,39551,7,88,Other,75
Metallica,1,44349,10,82,Metal,75
Migos,0,1257676,9,90,Hip-Hop/Rap,74.5
Drake,0,1257676,9,99,Hip-Hop/Rap,74.5
Metallica,0,305841,10,82,Metal,71.5
Metallica,0,634464,1,82,Metal,70.5
Maroon,1,128429,8,88,Rock,70
P!nk,1,634464,3,82,Rock,69.95
Leon Bridges,1,2718782,9,76,R&B,69.5
Cardi B,0,398121,10,93,Rock,66.5
Bruno Mars,0,398121,10,88,Rock,66.5
Bad Bunny,1,634464,9,95,Hip-Hop/Rap,65.96
Bad Bunny,1,44096,8,95,Hip-Hop/Rap,65.5
Bad Bunny,0,509924,9,95,Hip-Hop/Rap,65.5
Luke Combs,0,599164,7,79,Country,65.23
Shawn Mendes,0,599164,7,93,Rock,65.23
The Weeknd,1,599164,7,93,Hip-Hop/Rap,65.23
Metallica,1,66075,1,82,Metal,65
Metallica,0,192294,3,82,Metal,65
Metallica,0,297517,1,82,Metal,65
Metallica,0,599164,10,82,Metal,65
Metallica,1,843393,3,82,Metal,65
Foster The People,1,1553165,6,77,Rock,65
Bad Bunny,0,279639,11,95,Hip-Hop/Rap,64.5
Bad Bunny,1,400070,9,95,Hip-Hop/Rap,64.5
P!nk,1,1257676,3,82,Rock,64.45
Migos,1,196021,10,90,Hip-Hop/Rap,64.4
Bad Bunny,1,308428,11,95,Hip-Hop/Rap,64
Metallica,0,609456,12,82,Metal,63
Metallica,0,45237,9,82,Metal,62
Metallica,0,191180,11,82,Metal,62
Metallica,0,398121,1,82,Metal,62
Metallica,1,509924,12,82,Metal,62
Metallica,0,49891,12,82,Metal,61.44
Justin Timberlake,1,52122,10,85,Rock,61
Metallica,1,76185,10,82,Metal,61
Chris Brown,1,78373,7,90,R&B,61
Rich The Kid,1,78373,7,85,R&B,61
Metallica,1,431746,1,82,Metal,61
Metallica,1,609893,3,82,Metal,61
Drake,0,78373,8,99,Hip-Hop/Rap,60.5
Bad Bunny,0,645966,8,95,Hip-Hop/Rap,60.5
Bad Bunny,0,652405,9,95,Hip-Hop/Rap,60.5
Florida Georgia Line,1,599164,6,85,Country,60.07
Logic,0,599164,6,88,Rock,60.07
Halsey,0,599164,6,85,Rock,60.07
Bebe Rexha,1,599164,6,87,Country,60.07
Chris Brown,1,44096,7,90,R&B,59.99
P!nk,1,44349,3,82,Rock,59.95
J Balvin,0,228653,10,95,Hip-Hop/Rap,59.95
P!nk,1,609456,4,82,Rock,59.95
P!nk,0,843393,4,82,Rock,59.95
Dan + Shay,1,236716,9,76,Country,59.75
